source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
3308470968047333120,71.8160441270832,0.06956252015365158,13.557268667320836,0.042309815680796704,85.94037270770784,0.1591662000599404,-17.46453123648609,0.08690800947442581,20.33967039641142,0.08719022913935696,16.178123,17.86938,14.701907
3256598792586547584,58.73451166890935,0.06799401688623936,-0.7364685561064319,0.053826444736147894,117.82823411287316,0.14936994892452168,-38.349410957426656,0.12597524642938532,20.342636142931575,0.0876575359049065,17.009418,17.295666,16.540623
179517611361828736,65.70561641550084,0.2423771045966468,39.31124963344089,0.19218032905012594,-43.88494428082375,0.6710989294396822,6.5854610828780356,0.48240436880773296,20.34274313225942,0.30821793555044463,13.984457,15.655035,12.712835
3267361186060074240,47.825405122585096,0.0951069540278107,2.343097703205741,0.08176048150658721,-41.69874639769906,0.19313888268968937,-36.50636295741147,0.1633604284781983,20.34526080283376,0.11552438626773298,16.237106,18.29232,14.887215
166563989995322112,64.279059373501,1.847423360994107,31.805001947697058,0.8291013048199086,1.5240932249034216,3.538070115763658,-4.919085663561649,2.791291108729942,20.34862860264731,1.7673929003359459,20.533176,21.023315,18.964977
3251618000616770560,61.6356328122661,0.09047570096104214,-4.547011991712441,0.07667797661712512,172.98564854336607,0.2042279601007227,79.98074306975812,0.1508625842942844,20.349272081417627,0.10730659131250875,17.178717,17.396263,16.758186
47869373315376000,65.95083781852811,0.13567178936669835,18.470189404475825,0.061800168017629054,42.317402600727,0.31310391560197715,-1.0477219788744079,0.18781977736862743,20.351503110964057,0.14815770532273972,16.812235,18.948917,15.448308
220493935828647040,58.09300683604225,0.12172141220247765,37.28340404292567,0.07084408604573457,118.8909021780733,0.2763370534264164,-36.96217636989933,0.20142988391083427,20.359222111094827,0.14354941872719235,16.35214,18.473375,14.876758
3401494114228136064,81.07848670663931,0.7307267197797258,19.077322459030565,0.662378657005589,34.07946420711249,1.7802774589188217,-18.326506779650998,1.7386909966333646,20.362163040982313,0.8136390546230988,19.891354,21.712986,18.236845
49131681384221952,65.44162395469039,0.22954503506577392,20.39555464186869,0.09811147952798159,104.0209773624052,0.49986118082712766,-33.29598990408472,0.3020530450246446,20.36284915252547,0.26334064431575255,17.965435,20.655573,16.44084
218455127735056256,59.1414425916914,0.04620239603364553,33.37780245945688,0.024687788370457913,90.23554847998345,0.10393567821622701,-26.153915724576876,0.07080099200360504,20.36535260997064,0.05095263950231403,12.9701,14.246562,11.86203
112022887497553024,46.33695022051994,0.06222405988873199,25.750903988610293,0.04915821038289824,142.2695508519637,0.12706457252204334,-42.19298770345749,0.10897653288762536,20.366951998722236,0.07398489953643787,13.644588,15.061589,12.474614
3391357647810098560,76.51870865717923,0.11133547793057559,12.823158795747617,0.08259060887330984,138.7031492154915,0.20798462131438983,136.93372439094722,0.14198297401753487,20.368374534594107,0.12461532191278109,16.740387,19.042465,15.335166
2502585329216168704,41.48649134407008,0.0606946564460645,2.7102579379091485,0.05424927080073289,89.9303683703801,0.12529768836694682,-79.95312037229444,0.10631242497557052,20.37122231207444,0.07132186502090886,14.8813505,16.758366,13.579679
3342136433543217920,90.31428785412164,0.24603991367716463,11.348057994769581,0.21922519638863835,-34.26123924120431,0.4831496914851015,-20.174271757756518,0.3842050783480674,20.373123906328036,0.24646750973341813,14.456089,16.270245,13.165929
140499654543450880,43.2579528927102,0.058501757490088846,35.63627711177354,0.03987339591008985,336.17950900777566,0.11600753829492906,-188.3120767558369,0.09152639166985087,20.37544345837509,0.05828087141007395,8.145327,8.574363,7.591412
3309540449262796544,68.55437841710436,0.06668301974543211,15.181909470920523,0.030518708908812458,33.646477359989305,0.136641876388112,-123.49318906834147,0.08285227361270457,20.376243037949777,0.0750800477760177,15.307837,16.907303,14.079179
334276930987728256,40.56197032585411,0.06357218054436359,39.149543361423696,0.04780642544849386,6.737530256390052,0.1096218836847249,-139.37637110628535,0.08372508549541834,20.376299204691357,0.07528971993752812,14.327435,15.733594,13.167643
136005572563163904,45.851531345261364,0.041566529734073064,32.677944222603884,0.03197033332424569,-15.949642605835477,0.09164766609760763,-6.051013695754346,0.0780191627989429,20.3763662971875,0.046733048156625726,12.841644,14.075396,11.753922
15798165320627712,50.95788980301698,0.08379509617864908,9.942295598941637,0.07109886389971287,86.86363766897489,0.19945477604342066,-108.27126927493175,0.1506916064264308,20.379068618979097,0.0919167246162666,15.456431,17.167076,14.187741
3410118477275889024,71.51171930713414,0.1246576471914415,19.468174117705722,0.06459499407018188,85.41415214843086,0.21449775561406267,-35.47532223316088,0.11687919396719584,20.380766113331248,0.15132557103060051,16.833006,19.13456,15.414164
3314172176354869632,67.3311918235613,0.12563661578100208,17.60561110473117,0.049381917931909866,79.15358539958581,0.3105677029900168,-90.44224570796924,0.1378024503216082,20.383388906041972,0.14169595490885364,15.993995,18.277977,14.586313
137182114430919808,43.95056636865466,0.06098808685880885,34.47357270842431,0.051044928246597586,136.34299110335974,0.11342329867346763,-97.64079591581904,0.1033895795511484,20.384198368043453,0.07388669445177701,14.629623,15.607606,13.333809
3230617848218081152,67.90787797656448,0.049534445064047646,0.3421377805125493,0.03352939776995805,20.60331930054785,0.10923256284519567,-124.46343062126688,0.060428739745258434,20.389799118833327,0.054224401633565004,13.574756,14.947984,12.424359
66286704180780672,59.72779728473764,0.09554807103527707,25.219608207286313,0.04163328220141303,120.57438749438151,0.20481568760547672,-44.75755130132989,0.1147544055028899,20.392166487034117,0.08878123901765105,13.010174,14.314844,11.885761
42768945033709568,53.374935079682395,0.08238890594217149,16.59702000695736,0.061368078346116545,-24.29684363506868,0.18610549099923226,-95.81406254439158,0.14110535688791845,20.396890956693312,0.09032281160313402,15.323699,17.209173,14.016218
3312652513846244096,68.20928391099704,0.2237162043411278,16.00568757238531,0.13951418571059507,102.62550657628007,0.5534531078766064,-34.608855693934004,0.36427385797047945,20.39695782208213,0.26404910293479833,8.665884,9.145176,8.051712
180488510198187008,78.33621208856393,0.07450924047954738,31.48859378239446,0.060037317781271825,-6.4579194534086675,0.146001516125395,-57.1269727728785,0.10076843815294678,20.401515282710875,0.08675687324465489,15.05554,16.85209,13.745304
