source_id,ra,dec,pmra,pmdec,radial_velocity,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
3.396E+18,83.7060105,15.13910307,35.49850104,-72.78722725,2.682334699,21.59604362,10.463161,11.1960745,9.660952
4.82035E+16,65.05455009,19.23332589,114.5207326,-35.47827085,38.36215398,21.59915585,7.3117757,7.6127462,6.891918
3.22014E+18,82.02666008,-1.669838627,-28.08781778,-62.1347986,-41.15563,21.61027211,7.1694484,7.456829,6.7757506
1.44171E+17,67.81588085,20.13300003,106.4359078,-39.32449987,39.7647921,21.61867325,8.393869,8.785435,7.8749175
3.34858E+18,90.89476433,15.52511616,-67.17462533,-12.47352237,41.52400068,21.62986672,10.265823,11.12414,9.379418
3.34259E+18,91.07243978,12.29430694,34.84360713,-122.6271178,-65.77505723,21.63204534,10.602752,11.421664,9.739331
3.3468E+18,89.00058703,13.94115972,-55.42267584,12.28215507,-7.378282533,21.64229846,8.289732,8.630709,7.8144746
3.25643E+18,58.74208654,-1.262980176,5.746489669,62.25221305,22.78350033,21.64543098,8.663497,9.059854,8.024194
3.31245E+18,67.9326405,15.04101071,107.4063033,-2.469967522,40.40740387,21.66310164,11.451049,12.489045,10.463977
3.31366E+18,66.11853471,16.88605748,112.1347759,-25.50743705,37.70532864,21.66569209,7.6564097,7.9800057,7.199571
3.2413E+18,79.42074829,7.352715644,-0.811179165,-146.9973448,-79.04146022,21.66753155,7.1494656,7.5005937,6.68411
1.46989E+17,71.79107518,24.01981894,92.10487995,-52.64445861,39.29897097,21.66910792,11.50622,12.51281,10.544149
3.3468E+18,89.00217931,13.93462553,-53.66720288,11.76994287,-7.948858221,21.67067262,11.095117,11.899769,10.245286
3.31057E+18,64.69650097,13.3662345,116.324915,-17.43746549,38.87558415,21.67528405,11.270179,12.226091,10.343248
5.37258E+16,62.16786365,23.55713201,123.3236608,-42.06726131,37.75424024,21.69908555,12.558902,13.633654,11.196775
3.3129E+18,67.37957012,16.24469522,104.1787129,-21.07157055,39.41134359,21.6999819,9.927285,10.572618,9.188471
3.31365E+18,65.99689379,16.72146908,108.9410372,-24.50514707,39.10708018,21.71019817,11.728009,12.787552,10.737276
3.83547E+16,58.75658414,12.48554217,131.2275555,-10.22908403,36.31598091,21.72182299,9.766113,10.363303,9.067604
1.68967E+17,61.81761257,30.64858458,86.41407379,14.83892738,-15.13130508,21.72209253,11.495207,12.373546,10.597343
9.87781E+15,51.1190924,6.984885091,-28.79908239,-30.60311897,0.540070923,21.73102419,9.909726,10.514961,9.209018
6.34604E+15,43.16572001,5.715989038,-77.65983762,-299.3627144,52.57907985,21.74226366,9.959974,10.557404,9.257162
3.31378E+18,66.81981669,17.24171572,107.6847372,-31.49181517,40.36951308,21.74372108,12.143844,13.300845,11.090819
2.7998E+16,45.69484834,12.35408878,193.4371179,14.97910083,24.78592586,21.74643319,9.8341,10.447911,9.123746
3.22036E+18,80.79377588,-1.697627042,60.39886037,32.63169051,43.81355148,21.75528806,11.714352,12.748367,10.726096
3.31369E+18,66.66765705,16.74677694,107.6352764,-31.4313842,38.40163033,21.76521527,7.9409018,8.296081,7.466574
3.33562E+18,88.56413084,9.532278713,-38.36297078,-15.21889791,36.93278966,21.7675429,10.071931,10.86863,9.228946
3.40622E+18,70.81583614,17.06898817,89.50504754,-45.11193222,44.19363151,21.77198546,9.511652,10.065489,8.84617
3.44587E+18,83.49858027,29.35991193,153.208734,-349.4001491,-89.88274952,21.79151124,11.8036175,12.8010845,10.829507
3.33608E+18,86.19257339,8.750060557,41.75394985,144.5058363,42.99989551,21.79910291,13.157942,14.221028,12.017
6.42668E+16,54.39637332,21.34306335,136.8704665,-27.21371532,31.47295922,21.79910755,9.100624,9.603039,8.473625
3.4061E+18,72.60014568,17.20251366,98.28871607,-29.54109109,49.62690674,21.80572327,6.9477673,7.2668223,6.518481
