source_id,ra,dec,pmra,pmdec,radial_velocity,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
3266288097071134080,46.95531512950884,-0.48383827898625503,26.484197625360753,8.935209174762434,11.487825220916005,23.266590970288682,12.019912,13.120329,10.996422
3395691716488622976,79.03592841501836,19.18227391162749,80.38771587175134,-18.66984993687872,160.28985492064876,23.308282009537827,10.509325,11.188039,9.742051
3267965986174672256,52.268253924079524,1.6688535426136575,320.8191407389943,18.528984313453655,48.50190853580363,23.32357877672742,11.113621,12.036928,10.197273
3241505276779917312,77.78021733766029,6.473512839421907,98.45973823049812,-84.2593104905033,-11.363139601588678,23.352813071299824,12.490135,13.757928,11.393587
3294091211380706432,70.8826875267743,11.16679793359417,97.9906563003849,21.521703021787896,23.230249834731012,23.371791836734502,9.893868,10.551253,9.148329
3292437236655180672,69.45283113136246,8.138204612009527,16.947644467243393,-549.8345474738024,-15.858346400586209,23.37970992875581,11.294729,12.23163,10.378978
3391728565481255040,75.40052784470335,13.932915652221919,86.27266880521228,-22.05268175114895,43.56484518948017,23.388527646930104,10.745497,11.605692,9.85981
115068740866249728,45.54168406152881,26.012519950262288,157.4803929539878,-74.1691463886544,15.189158560571066,23.407353314523522,12.543122,13.795367,11.450349
8810116091022208,44.057652608696415,8.381177105122884,66.22281405673401,-88.96801996414086,27.430460235590772,23.41892693461478,5.846703,6.1134253,5.4953103
182224780788926592,77.95437859847895,34.39751453837341,59.59155816899541,-23.64848318982871,8.795647345490126,23.478483913961245,11.567537,12.570908,10.602388
3409686270421918336,70.7564252355074,18.711236610426365,101.43866280780846,-92.9908019527439,28.974882973021664,23.488774279368194,9.475344,10.13808,8.718076
3409686510941439104,70.71591562551957,18.720042372327192,103.96216777393316,-91.38927229590422,13.324667265373325,23.508352695259358,6.9459033,7.307718,6.468485
3304831550199371392,59.802994282351264,11.951781244565826,112.63739953598235,-234.31367196254607,73.6653241993952,23.53682819733747,11.525416,12.546987,10.556499
3219847066672970368,86.64513630752018,1.167586593650513,-77.67018818363087,-141.98733816405354,30.27194613676484,23.58192522982557,5.733188,6.142084,5.230102
122702478298949888,49.23568374036262,31.02948023059988,156.68061402375017,-245.29857340567577,39.831037564016995,23.591739776126172,9.147514,9.636702,8.532081
122366508777276416,50.36865384470318,30.212724761212584,136.11582737705132,-297.3282566369457,18.703189159252886,23.628432452121313,10.936865,11.7891865,10.059608
89630989600475904,39.602234627909816,23.088661020195435,10.050208122085776,6.271938994922637,18.521879964688196,23.634255347766864,11.548243,12.528495,10.587051
3312921378798754304,67.04581034723728,16.470801783690373,114.43390522582328,-31.93382548691835,39.9820440529324,23.635456140725697,10.502086,11.322126,9.647379
3412605297699792512,71.7876776925247,20.882097147303092,98.42172222666501,-50.09611247081037,40.59094368913211,23.64286772615713,9.477062,10.052589,8.796018
