source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
3263955178211141248,54.74513700936453,0.0591413260034235,0.7964416543833045,0.03602135798748579,57.59122716992885,0.1136433908340296,-23.711587923198813,0.11446642492186039,-38.44094885208311,0.9125972534500028,20.622854393618987,0.08106580285820364,8.4613695,8.861804,7.9278646
147665584137560448,69.46703809885867,0.056841088498903264,24.44072158855179,0.03571510750339394,-6.129420190424284,0.11110687393913035,-227.66912169427917,0.07986306622101695,-53.009474366205275,0.4784706228195713,20.62591971093598,0.062393250241810784,11.231531,12.141118,10.33019
48061409893621248,67.1555375920541,0.06034313591308539,19.740525157828195,0.033220491213724855,102.97863758261599,0.1203261964579444,-38.20152110922564,0.09626118267371535,40.2288729565351,1.75494676826947,20.627049336082834,0.06342494004010826,8.430403,8.822614,7.914545
328109186153130496,35.58616084745423,0.0360853333344072,36.443106229643575,0.030004415621220252,-113.65874651438457,0.06742468536436508,53.102114221948234,0.06657629908769193,-21.372692520481007,1.6968111215089154,20.63852528779672,0.0407452680986024,11.747563,12.668193,10.814903
47541100375011968,65.38495322490863,0.038158139323063965,18.41744468199816,0.020926126592020068,110.55526279504097,0.08917239248043984,-32.28391122797374,0.06632318482116654,38.458678614133795,0.34054996380281843,20.64269164472822,0.038760335728723075,6.683846,6.9300814,6.3378963
145293181643038336,66.57755528169878,0.06917596555887477,21.470267339799133,0.04065979436462857,103.24416919381181,0.14222314682515208,-38.40750707603355,0.11212761482362475,35.697236733184916,2.4057201535839194,20.670014485817077,0.06588879869843339,7.2235975,7.5159864,6.8228498
3309493715722074880,69.38372566683248,0.4124069743906969,15.146381157160157,0.29668906134885836,108.38357119826135,0.936826595426629,-23.178760959697808,0.5955016020182519,41.80386947464673,0.7820425198018769,20.690573420527173,0.4618509208672548,7.398631,7.706775,6.911387
185684875162751616,77.83675010164013,0.04848469864368707,36.5384391105628,0.037293958602988224,10.904199625390726,0.08544232033871636,-114.18419156513822,0.06287674792413418,33.55030428236235,0.36247920279506457,20.69388324546793,0.05919586171892151,10.972401,11.837441,10.093195
3282171749421655168,69.493087960664,0.03336131839718423,4.669807909747311,0.02003369544461217,95.45883305660759,0.06982060667805412,9.033382742574833,0.04194285935161814,41.12488839435383,0.20872894183387106,20.69410946907971,0.040226375292624635,10.897769,11.727505,10.035959
3405297324946333440,74.79341149176271,0.06579050098867195,16.071517799075856,0.04187205336783228,72.70340859988369,0.13024465376165015,-41.20388279956407,0.06795467715246058,41.333556411649795,0.327439468957448,20.707649862854883,0.060864180668909924,9.728529,10.278839,9.064534
335261749809101952,38.536079056903674,0.05828887963384698,39.93576857981471,0.03294648207004039,-62.86130925082517,0.08532881936162741,96.99517168313601,0.07280832300759647,-65.08437970309365,1.0158937526595255,20.707912536295908,0.05762194366160002,12.177974,13.1868725,11.197684
26101272172092160,39.16186355126142,0.05042530628826793,12.207773992645137,0.035806149540574414,240.83480433438746,0.08334340281973567,-64.40392352616962,0.07400943701487143,20.863484714563143,0.8902452717065628,20.71090894482275,0.05720503463368281,11.097939,11.954516,10.214865
3420478114488481664,76.09019165367484,0.05043872047299021,27.12310536446701,0.03331246142132722,21.405172720248157,0.10249178877220831,-155.95446710515597,0.053486748362334614,-17.77545128199214,0.16296886210666178,20.72361447152008,0.056570141039838345,9.5360365,10.037498,8.908668
3249223333010484480,53.5844179683064,0.035952190548988544,-3.1859014336778553,0.02052582497298669,30.09647511022478,0.0604675843189086,-77.09116547709601,0.0542461006685423,-22.135129272298336,0.49196651570590916,20.72381714386261,0.04578505744043588,12.525791,13.667452,11.476086
42768532716776704,53.23960908714198,0.044381636032690575,16.598015264495363,0.030358578393388434,-24.342456081720776,0.09095070484649825,-96.00688033112905,0.06429541298840018,-6.1934621436732975,0.2577505838000297,20.72460485559678,0.05059112264680103,6.902252,7.170004,6.529534
3239798461074336512,75.86021043630252,0.029614817094001575,5.0960471408156405,0.021532118646183724,-186.31761303696754,0.0656412866653213,-183.9938925494853,0.04792588813820197,-65.10858299954432,0.46247384607369535,20.728653129661364,0.036893620395293404,11.818037,12.756862,10.879003
3224828983923246080,73.79016784334023,0.0377306384209485,-3.424377319701614,0.027186151278704773,22.31206016257472,0.0796437086599855,-65.71439846121345,0.06172887461066421,0.7710602741408561,5.490408466398018,20.729271245119783,0.045953240388346174,12.448463,13.806083,11.27941
123422035644448384,47.919424420064956,0.05164162950394126,31.255841766855436,0.0318131970274483,227.41222367246434,0.13675634814538679,-106.77912549533175,0.0838843561170387,-24.73672792415357,0.21836963470137621,20.729689977692242,0.05099861991207085,10.077686,10.760805,9.301913
3429666527007796352,90.71927368799501,0.5633957344583257,25.883969160751523,0.5482462726555276,24.51347265330509,1.0948764319631248,-72.56306594044715,0.922799047745815,-22.867083187341308,0.6195905777080597,20.73233264645814,0.7033478224890111,7.793982,8.046867,7.393719
169837373550914944,62.68135231134802,0.036291050756632186,32.93433395407806,0.017243162847984713,144.35459250551742,0.079827577929617,-82.68370508660864,0.04465317264786823,47.79993383655328,0.561450726892737,20.742975348224554,0.04276800747763473,11.378322,12.309038,10.468291
3312892757136810880,67.24950076279652,0.15148253593156094,16.158972578365546,0.07464747302482713,117.10995177112808,0.36175443054689166,-22.737182170017597,0.2263478431088821,42.16964038915245,2.993515952306349,20.744243003843074,0.18166227612736774,6.431078,6.7274337,6.022114
3310702770492165120,64.8344979862436,0.03964209238482304,14.31635042216714,0.02583704840705471,107.99251303390842,0.09995345637230917,-17.78588859614475,0.06990165966526551,38.44631698728643,0.6653472988251273,20.752886601231143,0.04382591510506347,11.991074,13.0687895,10.975688
3405909374965722368,72.12805479536487,0.050918401722056014,16.38840366232641,0.03209904148706357,86.62158347431237,0.09978346220392517,-30.420241273708676,0.054881912993348506,41.49812980608419,0.44987799355503016,20.75351342667197,0.05587539709074253,11.648766,12.663389,10.679278
3406786445943961088,71.90694558759326,0.07838176391868007,18.258583061721268,0.043619959218212774,84.65342739237693,0.15350841000939372,-38.326308027162995,0.0739965154473645,43.58190496659534,0.25743588658742994,20.75608284243989,0.07837745951574408,8.3399315,8.723396,7.828895
